index,address,bathrooms,country,detailedType.subTypology,detailedType.typology,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,newDevelopmentFinished,numPhotos,operation,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts.subtitle,suggestedTexts.title,thumbnail,url
1,Calle de Numància,2,es,,flat,Les Corts,False,3142 APIALIA,1,False,False,True,False,False,41.3867631,2.1363137,Barcelona,Les Corts,False,,12,sale,,,,349000.0,4011.0,88079664,flat,Barcelona,3,False,87.0,,"Les Corts, Barcelona",Piso en Calle de Numància,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/76/0f/e6/738076555.jpg,https://www.idealista.com/inmueble/88079664/
2,barrio La Teixonera,1,es,,flat,Horta Guinardó,True,171.02535,2,False,False,False,False,False,41.4243473,2.1500536,Barcelona,La Teixonera,False,,14,sale,,,,118000.0,2565.0,88118747,flat,Barcelona,2,False,46.0,good,"La Teixonera, Barcelona",Piso,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/13/36/ed/739081371.jpg,https://www.idealista.com/inmueble/88118747/
3,Calle del Bruc,2,es,,flat,Eixample,True,AP-RES-841-254-19,4,False,False,True,True,True,41.3982772,2.1636708,Barcelona,La Dreta de l'Eixample,False,,23,sale,,,,560000.0,4786.0,88118610,flat,Barcelona,4,False,117.0,good,"La Dreta de l'Eixample, Barcelona",Piso en Calle del Bruc,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/82/bb/7e/739078854.jpg,https://www.idealista.com/inmueble/88118610/
4,Calle de Casals i Cuberó,1,es,,flat,Nou Barris,True,,3,False,False,True,False,False,41.4401465,2.1750785,Barcelona,Verdun,False,,10,sale,,,,149900.0,2141.0,88118194,flat,Barcelona,3,False,70.0,good,"Verdun, Barcelona",Piso en Calle de Casals i Cuberó,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/da/7d/ed/739069656.jpg,https://www.idealista.com/inmueble/88118194/
5,barrio Vallcarca i els Penitents,2,es,,flat,Gràcia,True,2522,4,False,False,True,False,False,41.4153749,2.1393716,Barcelona,Vallcarca i els Penitents,False,,16,sale,,,,449000.0,4619.0,88115430,flat,Barcelona,3,False,97.2,good,"Vallcarca i els Penitents, Barcelona",Piso,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fb/4c/e7/738988065.jpg,https://www.idealista.com/inmueble/88115430/
6,Paseo de Torras i Bages,2,es,penthouse,flat,Sant Andreu,True,GQ-1,8,False,False,True,False,False,41.4403494,2.1930341,Barcelona,Sant Andreu,False,,31,sale,,,,467000.0,3013.0,88114853,penthouse,Barcelona,4,False,155.0,good,"Sant Andreu, Barcelona",Ático en Paseo de Torras i Bages,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/7d/bc/15/742352938.jpg,https://www.idealista.com/inmueble/88114853/
7,Calle Pallars,1,es,,flat,Sant Martí,True,,en,False,False,False,False,False,41.4043752,2.2020046,Barcelona,El Poblenou,False,,15,sale,,,,175000.0,3017.0,88113929,flat,Barcelona,1,False,58.0,good,"El Poblenou, Barcelona",Piso en Calle Pallars,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a7/b7/4c/738952312.jpg,https://www.idealista.com/inmueble/88113929/
8,barrio Diagonal Mar i el Front Marítim del Poblenou,1,es,,flat,Sant Martí,False,GH01100,3,False,False,False,True,False,41.402535,2.2105269,Barcelona,Diagonal Mar i el Front Marítim del Poblenou,False,,23,sale,,,,324000.0,3560.0,88113009,flat,Barcelona,3,False,91.0,renew,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",Piso,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ac/f9/92/748557527.jpg,https://www.idealista.com/inmueble/88113009/
9,barrio El Baix Guinardó,1,es,,flat,Horta Guinardó,True,00391,1,False,False,True,False,False,41.4130961,2.1701516,Barcelona,El Baix Guinardó,False,,22,sale,,,,290000.0,3671.0,88112580,flat,Barcelona,3,False,79.0,good,"El Baix Guinardó, Barcelona",Piso,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8d/58/57/740730289.jpg,https://www.idealista.com/inmueble/88112580/
10,barrio La Sagrada Família,1,es,,flat,Eixample,True,00390,3,False,False,True,False,False,41.4098223,2.1752423,Barcelona,La Sagrada Família,False,,21,sale,,,,349000.0,4474.0,88112590,flat,Barcelona,2,False,78.0,good,"La Sagrada Família, Barcelona",Piso,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/47/1d/5e/740730171.jpg,https://www.idealista.com/inmueble/88112590/
