index,address,bathrooms,country,detailedType.subTypology,detailedType.typology,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasVideo,latitude,longitude,municipality,neighborhood,newDevelopment,newDevelopmentFinished,numPhotos,operation,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts.subtitle,suggestedTexts.title,thumbnail,url
13,Calle del Rosselló,2,es,,flat,Eixample,False,,6,True,False,True,False,False,41.3834588,2.1451328,Barcelona,La Nova Esquerra de l'Eixample,False,,13,sale,,,,380000.0,4222.0,88688277,flat,Barcelona,3,False,90.0,good,"La Nova Esquerra de l'Eixample, Barcelona",Piso en Calle del Rosselló,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/77/65/38/752736870.jpg,https://www.idealista.com/inmueble/88688277/
14,Gran Via de Carles III,2,es,,flat,Les Corts,True,DUX0043,5,False,False,True,False,False,41.3820558,2.128207,Barcelona,La Maternitat i Sant Ramon,False,,24,sale,,,,600000.0,5607.0,88688272,flat,Barcelona,3,False,107.0,good,"La Maternitat i Sant Ramon, Barcelona",Piso en Gran Via de Carles III,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/af/3b/b5/752736673.jpg,https://www.idealista.com/inmueble/88688272/
15,Calle de la Marina,2,es,,flat,Eixample,True,vf.marina,1,False,False,True,True,False,41.4044705,2.1725949,Barcelona,La Sagrada Família,False,,26,sale,,,,350000.0,4430.0,88688259,flat,Barcelona,3,False,79.0,good,"La Sagrada Família, Barcelona",Piso en Calle de la Marina,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6d/d7/02/752736393.jpg,https://www.idealista.com/inmueble/88688259/
16,Calle de València,1,es,,flat,Sant Martí,True,vf-vlc,1,False,False,True,False,False,41.4070749,2.1854629,Barcelona,El Camp de l'Arpa del Clot,False,,9,sale,,,,246000.0,4100.0,88688255,flat,Barcelona,3,False,60.0,good,"El Camp de l'Arpa del Clot, Barcelona",Piso en Calle de València,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c8/5e/e4/752736275.jpg,https://www.idealista.com/inmueble/88688255/
17,barrio Vila de Gràcia,1,es,,flat,Gràcia,True,23460,1,False,False,False,False,False,41.3972498,2.1593994,Barcelona,Vila de Gràcia,False,,14,sale,,,,265000.0,4141.0,88688248,flat,Barcelona,1,False,64.0,good,"Vila de Gràcia, Barcelona",Piso,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/bc/15/00/752736274.jpg,https://www.idealista.com/inmueble/88688248/
18,"Calle de Pàdua, 108",2,es,,flat,Sarrià-Sant Gervasi,True,CM SANT GERVASI,5,False,False,True,True,False,41.4035814,2.1430661,Barcelona,El Putxet i el Farró,False,,19,sale,,,,475000.0,4524.0,88687747,flat,Barcelona,3,True,105.0,good,"El Putxet i el Farró, Barcelona","Piso en Calle de Pàdua, 108",https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/59/af/ce/752726472.jpg,https://www.idealista.com/inmueble/88687747/
19,Calle de los Castillejos,2,es,,flat,Eixample,True,Glorias,2,False,False,True,False,False,41.4033773,2.1844881,Barcelona,La Sagrada Família,False,,1,sale,,,,345000.0,3450.0,88688123,flat,Barcelona,3,False,100.0,good,"La Sagrada Família, Barcelona",Piso en Calle de los Castillejos,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ff/dc/eb/752735741.jpg,https://www.idealista.com/inmueble/88688123/
20,Calle Londres,2,es,,flat,Eixample,True,,3,False,False,True,True,False,41.3867021,2.1456071,Barcelona,La Nova Esquerra de l'Eixample,False,,5,sale,,,,420000.0,3621.0,88688072,flat,Barcelona,4,False,116.0,renew,"La Nova Esquerra de l'Eixample, Barcelona",Piso en Calle Londres,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e8/ce/ed/752733612.jpg,https://www.idealista.com/inmueble/88688072/
21,Calle de la Diputació,1,es,,flat,Eixample,True,DS1264,1,True,False,True,False,False,41.3839087,2.1585094,Barcelona,L'Antiga Esquerra de l'Eixample,False,,32,sale,,,,350000.0,4430.0,88688056,flat,Barcelona,1,False,79.0,good,"L'Antiga Esquerra de l'Eixample, Barcelona",Piso en Calle de la Diputació,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/dd/43/da/752732883.jpg,https://www.idealista.com/inmueble/88688056/
22,Calle de Pavia,1,es,,flat,Sants-Montjuïc,True,FV006,bj,False,False,False,True,False,41.3746709,2.1309231,Barcelona,Sants,False,,17,sale,,,,165000.0,2357.0,88688017,flat,Barcelona,2,False,70.0,good,"Sants, Barcelona",Piso en Calle de Pavia,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/40/de/82/752732162.jpg,https://www.idealista.com/inmueble/88688017/
23,Calle de Provença,2,es,,flat,Eixample,True,DUX0042,2,False,False,True,True,False,41.3834227,2.1474247,Barcelona,La Nova Esquerra de l'Eixample,False,,21,sale,,,,391000.0,4711.0,88688035,flat,Barcelona,2,False,83.0,good,"La Nova Esquerra de l'Eixample, Barcelona",Piso en Calle de Provença,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/27/ca/a3/752732358.jpg,https://www.idealista.com/inmueble/88688035/
24,Calle de França,1,es,,flat,Horta Guinardó,True,3477-00914,1,False,False,True,True,False,41.4147451,2.1610783,Barcelona,Can Baró,False,,19,sale,,,,305000.0,3547.0,88687980,flat,Barcelona,3,False,86.0,good,"Can Baró, Barcelona",Piso en Calle de França,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4f/06/da/752731122.jpg,https://www.idealista.com/inmueble/88687980/
